Accession,GenBank_RefSeq,Assembly,Organism_Name,Species,Isolate,Length,Nuc_Completeness,Geo_Location,USA,Host,Tissue_Specimen_Source,Submitters,Organization,Org_location,Collection_Date,Release_Date
MH231129,GenBank,set:MH231129,Bovine viral diarrhea virus 2,Pestivirus tauri,5912c,12560,partial,USA,NA,NA,NA,"Neill,J.D., Workman,A.M., Hesse,R., Bai,J., Porter,E.P., Meadors,B., Anderson,J., Bayles,D.O., Falkenberg,S.M.","National Animal Disease Center, Ruminant Diseases and Immunology Research Unit",USA,1995,2018-12-25
MH231130,GenBank,set:MH231130,Bovine viral diarrhea virus 2,Pestivirus tauri,95-1501,12280,partial,USA,NA,NA,NA,"Neill,J.D., Workman,A.M., Hesse,R., Bai,J., Porter,E.P., Meadors,B., Anderson,J., Bayles,D.O., Falkenberg,S.M.","National Animal Disease Center, Ruminant Diseases and Immunology Research Unit",USA,1998,2018-12-25
MH231131,GenBank,set:MH231131,Bovine viral diarrhea virus 2,Pestivirus tauri,AU501,12251,partial,USA,NA,NA,NA,"Neill,J.D., Workman,A.M., Hesse,R., Bai,J., Porter,E.P., Meadors,B., Anderson,J., Bayles,D.O., Falkenberg,S.M.","National Animal Disease Center, Ruminant Diseases and Immunology Research Unit",USA,2006,2018-12-25
MH231132,GenBank,set:MH231132,Bovine viral diarrhea virus 2,Pestivirus tauri,AzSpl,12283,partial,USA,NA,NA,NA,"Neill,J.D., Workman,A.M., Hesse,R., Bai,J., Porter,E.P., Meadors,B., Anderson,J., Bayles,D.O., Falkenberg,S.M.","National Animal Disease Center, Ruminant Diseases and Immunology Research Unit",USA,1997,2018-12-25
MH231133,GenBank,set:MH231133,Bovine viral diarrhea virus 2,Pestivirus tauri,B69519c,12629,partial,USA,NA,NA,NA,"Neill,J.D., Workman,A.M., Hesse,R., Bai,J., Porter,E.P., Meadors,B., Anderson,J., Bayles,D.O., Falkenberg,S.M.","National Animal Disease Center, Ruminant Diseases and Immunology Research Unit",USA,2006,2018-12-25
MH231134,GenBank,set:MH231134,Bovine viral diarrhea virus 2,Pestivirus tauri,B9497,12271,partial,USA,NA,NA,NA,"Neill,J.D., Workman,A.M., Hesse,R., Bai,J., Porter,E.P., Meadors,B., Anderson,J., Bayles,D.O., Falkenberg,S.M.","National Animal Disease Center, Ruminant Diseases and Immunology Research Unit",USA,1997,2018-12-25
MH231135,GenBank,set:MH231135,Bovine viral diarrhea virus 2,Pestivirus tauri,BV1907,12284,partial,USA,NA,NA,NA,"Neill,J.D., Workman,A.M., Hesse,R., Bai,J., Porter,E.P., Meadors,B., Anderson,J., Bayles,D.O., Falkenberg,S.M.","National Animal Disease Center, Ruminant Diseases and Immunology Research Unit",USA,1995,2018-12-25
MH231136,GenBank,set:MH231136,Bovine viral diarrhea virus 2,Pestivirus tauri,JV14,12236,partial,USA,NA,NA,NA,"Neill,J.D., Workman,A.M., Hesse,R., Bai,J., Porter,E.P., Meadors,B., Anderson,J., Bayles,D.O., Falkenberg,S.M.","National Animal Disease Center, Ruminant Diseases and Immunology Research Unit",USA,1998,2018-12-25
MH231137,GenBank,set:MH231137,Bovine viral diarrhea virus 2,Pestivirus tauri,MadSpl,12270,partial,USA,NA,NA,NA,"Neill,J.D., Workman,A.M., Hesse,R., Bai,J., Porter,E.P., Meadors,B., Anderson,J., Bayles,D.O., Falkenberg,S.M.","National Animal Disease Center, Ruminant Diseases and Immunology Research Unit",USA,1991,2018-12-25
MH231138,GenBank,set:MH231138,Bovine viral diarrhea virus 2,Pestivirus tauri,MnFetus,12248,partial,USA,NA,NA,NA,"Neill,J.D., Workman,A.M., Hesse,R., Bai,J., Porter,E.P., Meadors,B., Anderson,J., Bayles,D.O., Falkenberg,S.M.","National Animal Disease Center, Ruminant Diseases and Immunology Research Unit",USA,1991,2018-12-25
MH231139,GenBank,set:MH231139,Bovine viral diarrhea virus 2,Pestivirus tauri,Olwein #12,12284,partial,USA,NA,NA,NA,"Neill,J.D., Workman,A.M., Hesse,R., Bai,J., Porter,E.P., Meadors,B., Anderson,J., Bayles,D.O., Falkenberg,S.M.","National Animal Disease Center, Ruminant Diseases and Immunology Research Unit",USA,1990,2018-12-25
MH231140,GenBank,set:MH231140,Bovine viral diarrhea virus 2,Pestivirus tauri,PA,12284,partial,USA,NA,NA,NA,"Neill,J.D., Workman,A.M., Hesse,R., Bai,J., Porter,E.P., Meadors,B., Anderson,J., Bayles,D.O., Falkenberg,S.M.","National Animal Disease Center, Ruminant Diseases and Immunology Research Unit",USA,1992,2018-12-25
MH231141,GenBank,set:MH231141,Bovine viral diarrhea virus 2,Pestivirus tauri,PI28,12269,partial,USA,NA,NA,NA,"Neill,J.D., Workman,A.M., Hesse,R., Bai,J., Porter,E.P., Meadors,B., Anderson,J., Bayles,D.O., Falkenberg,S.M.","National Animal Disease Center, Ruminant Diseases and Immunology Research Unit",USA,2016,2018-12-25
MH231142,GenBank,set:MH231142,Bovine viral diarrhea virus 2,Pestivirus tauri,Parker,12195,partial,USA,NA,NA,NA,"Neill,J.D., Workman,A.M., Hesse,R., Bai,J., Porter,E.P., Meadors,B., Anderson,J., Bayles,D.O., Falkenberg,S.M.","National Animal Disease Center, Ruminant Diseases and Immunology Research Unit",USA,1991,2018-12-25
MH231143,GenBank,set:MH231143,Bovine viral diarrhea virus 2,Pestivirus tauri,RS886,12284,partial,USA,NA,NA,NA,"Neill,J.D., Workman,A.M., Hesse,R., Bai,J., Porter,E.P., Meadors,B., Anderson,J., Bayles,D.O., Falkenberg,S.M.","National Animal Disease Center, Ruminant Diseases and Immunology Research Unit",USA,2014,2018-12-25
MH231144,GenBank,set:MH231144,Bovine viral diarrhea virus 2,Pestivirus tauri,Sanderson6319,12271,partial,USA,NA,NA,NA,"Neill,J.D., Workman,A.M., Hesse,R., Bai,J., Porter,E.P., Meadors,B., Anderson,J., Bayles,D.O., Falkenberg,S.M.","National Animal Disease Center, Ruminant Diseases and Immunology Research Unit",USA,1992,2018-12-25
MH231145,GenBank,set:MH231145,Bovine viral diarrhea virus 2,Pestivirus tauri,Victor301,12284,partial,USA,NA,NA,NA,"Neill,J.D., Workman,A.M., Hesse,R., Bai,J., Porter,E.P., Meadors,B., Anderson,J., Bayles,D.O., Falkenberg,S.M.","National Animal Disease Center, Ruminant Diseases and Immunology Research Unit",USA,1990,2018-12-25
MH231146,GenBank,set:MH231146,Bovine viral diarrhea virus 2,Pestivirus tauri,WiscA,12284,partial,USA,NA,NA,NA,"Neill,J.D., Workman,A.M., Hesse,R., Bai,J., Porter,E.P., Meadors,B., Anderson,J., Bayles,D.O., Falkenberg,S.M.","National Animal Disease Center, Ruminant Diseases and Immunology Research Unit",USA,1991,2018-12-25
MH231147,GenBank,set:MH231147,Bovine viral diarrhea virus 2,Pestivirus tauri,PI12,12285,partial,USA,NA,NA,NA,"Neill,J.D., Workman,A.M., Hesse,R., Bai,J., Porter,E.P., Meadors,B., Anderson,J., Bayles,D.O., Falkenberg,S.M.","National Animal Disease Center, Ruminant Diseases and Immunology Research Unit",USA,2016,2018-12-25
MH231148,GenBank,set:MH231148,Bovine viral diarrhea virus 2,Pestivirus tauri,12-149150,12260,partial,USA,NA,NA,NA,"Neill,J.D., Workman,A.M., Hesse,R., Bai,J., Porter,E.P., Meadors,B., Anderson,J., Bayles,D.O., Falkenberg,S.M.","National Animal Disease Center, Ruminant Diseases and Immunology Research Unit",USA,2012,2018-12-25
MH231149,GenBank,set:MH231149,Bovine viral diarrhea virus 2,Pestivirus tauri,Short,12254,partial,USA,NA,NA,NA,"Neill,J.D., Workman,A.M., Hesse,R., Bai,J., Porter,E.P., Meadors,B., Anderson,J., Bayles,D.O., Falkenberg,S.M.","National Animal Disease Center, Ruminant Diseases and Immunology Research Unit",USA,1989,2018-12-25
MH231150,GenBank,set:MH231150,Bovine viral diarrhea virus 2,Pestivirus tauri,12-151955-317,12260,partial,USA,NA,NA,NA,"Neill,J.D., Workman,A.M., Hesse,R., Bai,J., Porter,E.P., Meadors,B., Anderson,J., Bayles,D.O., Falkenberg,S.M.","National Animal Disease Center, Ruminant Diseases and Immunology Research Unit",USA,2012,2018-12-25
MH231151,GenBank,set:MH231151,Bovine viral diarrhea virus 2,Pestivirus tauri,14622,12255,partial,USA,NA,NA,NA,"Neill,J.D., Workman,A.M., Hesse,R., Bai,J., Porter,E.P., Meadors,B., Anderson,J., Bayles,D.O., Falkenberg,S.M.","National Animal Disease Center, Ruminant Diseases and Immunology Research Unit",USA,2005,2018-12-25
MH231152,GenBank,set:MH231152,Bovine viral diarrhea virus 2,Pestivirus tauri,2412,12254,partial,USA,NA,NA,NA,"Neill,J.D., Workman,A.M., Hesse,R., Bai,J., Porter,E.P., Meadors,B., Anderson,J., Bayles,D.O., Falkenberg,S.M.","National Animal Disease Center, Ruminant Diseases and Immunology Research Unit",USA,1989,2018-12-25
MH231153,GenBank,set:MH231153,Bovine viral diarrhea virus 1,Pestivirus bovis,Nebraska,12303,partial,USA,NA,NA,NA,"Neill,J.D., Workman,A.M., Hesse,R., Bai,J., Porter,E.P., Meadors,B., Anderson,J., Bayles,D.O., Falkenberg,S.M.","National Animal Disease Center, Ruminant Diseases and Immunology Research Unit",USA,1990,2018-12-25
MH806434,GenBank,set:MH806434,Bovine viral diarrhea virus 2,Pestivirus tauri,125c,12621,complete,USA,NA,NA,NA,"Neill,J.D., Workman,A.M., Hesse,R., Bai,J., Porter,E.P., Meadors,B., Anderson,J., Bayles,D.O., Falkenberg,S.M.","National Animal Disease Center, Ruminant Diseases and Immunology Research Unit",USA,1990,2018-12-25
MH806435,GenBank,set:MH806435,Bovine viral diarrhea virus 2,Pestivirus tauri,1336H,12221,complete,USA,NA,NA,NA,"Neill,J.D., Workman,A.M., Hesse,R., Bai,J., Porter,E.P., Meadors,B., Anderson,J., Bayles,D.O., Falkenberg,S.M.","National Animal Disease Center, Ruminant Diseases and Immunology Research Unit",USA,2005,2018-12-25
MH806436,GenBank,set:MH806436,Bovine viral diarrhea virus 2,Pestivirus tauri,296c,12629,complete,USA,NA,NA,NA,"Neill,J.D., Workman,A.M., Hesse,R., Bai,J., Porter,E.P., Meadors,B., Anderson,J., Bayles,D.O., Falkenberg,S.M.","National Animal Disease Center, Ruminant Diseases and Immunology Research Unit",USA,1995,2018-12-25
MH806437,GenBank,set:MH806437,Bovine viral diarrhea virus 2,Pestivirus tauri,9231,12285,complete,USA,NA,NA,NA,"Neill,J.D., Workman,A.M., Hesse,R., Bai,J., Porter,E.P., Meadors,B., Anderson,J., Bayles,D.O., Falkenberg,S.M.","National Animal Disease Center, Ruminant Diseases and Immunology Research Unit",USA,2004,2018-12-25
MH806438,GenBank,set:MH806438,Bovine viral diarrhea virus 2,Pestivirus tauri,McCart_c,12598,complete,USA,NA,NA,NA,"Neill,J.D., Workman,A.M., Hesse,R., Bai,J., Porter,E.P., Meadors,B., Anderson,J., Bayles,D.O., Falkenberg,S.M.","National Animal Disease Center, Ruminant Diseases and Immunology Research Unit",USA,1989,2018-12-25
MH493894,GenBank,set:MH493894,Atypical porcine pestivirus,Pestivirus scrofae,NA,11398,partial,China,NA,Sus scrofa,NA,"Zhang,X., Dai,R., Li,Q., Zhou,Q., Luo,Y., Lin,L., Bi,Y., Chen,F.","South China Agriculture University, College of Animal Science",China,2018-02,2018-12-24
MH493895,GenBank,set:MH493895,Atypical porcine pestivirus,Pestivirus scrofae,NA,11397,partial,China,NA,Sus scrofa,NA,"Zhang,X., Dai,R., Li,Q., Zhou,Q., Luo,Y., Lin,L., Bi,Y., Chen,F.","South China Agriculture University, College of Animal Science",China,2018-02,2018-12-24
MH493896,GenBank,set:MH493896,Atypical porcine pestivirus,Pestivirus scrofae,NA,11484,partial,China,NA,Sus scrofa,NA,"Zhang,X., Dai,R., Li,Q., Zhou,Q., Luo,Y., Lin,L., Bi,Y., Chen,F.","South China Agriculture University, College of Animal Science",China,2018-02,2018-12-24
MH490942,GenBank,set:MH490942,Bovine viral diarrhea virus 1a,Pestivirus bovis,NA,12341,complete,China,NA,Bos taurus,NA,"Liu,C., Fabiola,V., Wei,W., Leal,E., Zhai,S., Li,J., Cui,S.","Chinese Academy of Agricultural Sciences, Institute of Animal Sciences",China,2013,2018-12-03
MH490943,GenBank,set:MH490943,Bovine viral diarrhea virus 1b,Pestivirus bovis,NA,12269,complete,China,NA,Bos taurus,NA,"Liu,C., Fabiola,V., Wei,W., Leal,E., Zhai,S., Li,J., Cui,S.","Chinese Academy of Agricultural Sciences, Institute of Animal Sciences",China,2016,2018-12-03
MH979231,GenBank,set:MH979231,Classical swine fever virus,Pestivirus suis,HY78,12301,complete,Viet Nam,NA,Sus scrofa,blood,"Kim,K.-S., Choe,S., Cha,R.M., Cho,I.-S., Le,V.P., Hien,N.B., Thach,P.N., Nguyen,V.G., Hang,V.T.T., Duong,T.D., An,D.-J.","Animal and Plant Quarantine Agency, Viral Disease Division",Korea,2015-09,2018-11-25
MH979232,GenBank,set:MH979232,Classical swine fever virus,Pestivirus suis,ND20,12301,complete,Viet Nam,NA,Sus scrofa,blood,"Kim,K.-S., Choe,S., Cha,R.M., Cho,I.-S., Le,V.P., Hien,N.B., Thach,P.N., Nguyen,V.G., Hang,V.T.T., Duong,T.D., An,D.-J.","Animal and Plant Quarantine Agency, Viral Disease Division",Korea,2014-06,2018-11-25
MH282908,GenBank,set:MH282908,Bat pestivirus BtSk-PestV-1/GX2017,Pestivirus S,BtSk-PestV-1/GX2017,11921,partial,China,NA,Scotophilus kuhlii,NA,"Wu,Z., Liu,B., Du,J., Zhang,J., Lu,L., Zhu,G., Han,Y., Su,H., Yang,L., Zhang,S., Liu,Q., Jin,Q.","Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College, MOH Key Laboratory of Systems Biology of Pathogens",China,2017-07,2018-11-21
MG387217,GenBank,set:MG387217,Classical swine fever virus,Pestivirus suis,BJ1-2017,12295,complete,China,NA,Sus scrofa,NA,"Liu,Y., Ni,J.-Q., Wang,C.-B., Li,J.",China Animal Disease Control Center,China,2017-08-09,2018-11-07
MG387218,GenBank,set:MG387218,Classical swine fever virus,Pestivirus suis,BJ2-2017,12295,complete,China,NA,Sus scrofa,NA,"Liu,Y., Ni,J.-Q., Wang,C.-B., Li,J.",China Animal Disease Control Center,China,2017-08-09,2018-11-07
MG655308,GenBank,set:MG655308,Classical swine fever virus,Pestivirus suis,Guatemala,11955,complete,Guatemala,NA,Sus scrofa,NA,"Bravo de Rueda,C., Xu,L., Daligault,H., Bucko,S.M., Barrette,R.W., Jia,W., Johnson,S.L., McIntosh,M.T.",Los Alamos National Laboratory,USA,1982-10-07,2018-11-03
MH715893,GenBank,set:MH715893,Atypical porcine pestivirus,Pestivirus scrofae,GX01-2018,11565,complete,China,NA,Sus scrofa,NA,"Yin,Y.Y., Shi,K.K., Lu,W.W., Qu,S.S., Mo,S.S., Zou,L.L.","Guangxi Center for Animal Disease Prevention and Control, Division for Emergency Response and Control",NA,2018,2018-10-24
MG599478,GenBank,set:MG599478,Classical swine fever virus,Pestivirus suis,NA,11602,partial,NA,NA,NA,NA,"Badasara,S.K., Mohan,M., Dhar,P., Upmanyu,V., Tiwari,A.K., Malla,W.A., Mondal,P., Khan,R.I.N., Gandham,R., Sahoo,A.P.","ICAR - Indian Veterinary Research Institute, Division of Biological Standardisation",India,NA,2018-10-06
LC425854,GenBank,set:LC425854,Classical swine fever virus,Pestivirus suis,NA,12094,complete,Japan,NA,Sus scrofa domesticus,NA,"Nishi,T., Kameyama,K., Kato,T., Fukai,K.","Division of Transboundary Animal Diseases; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 185-0005",Japan,2018-09,2018-10-05
MG923683,GenBank,set:MG923683,Bovine viral diarrhea virus 1d,Pestivirus bovis,NA,12251,complete,Brazil,NA,Bos taurus,blood,"Weber,M.N., Cibulski,S.P., Olegario,J.C., Silveira,S., Silva,M.S., Mosena,A.C.S., Bianchi,M.V., Pavarini,S.P., Mayer,F.Q., Canal,C.W.","Universidade Federal do Rio Grande do Sul, Laboratorio de Virologia",Brazil,2015,2018-09-25
MH166806,GenBank,set:MH166806,Bovine viral diarrhea virus 1,Pestivirus bovis,XC,12192,complete,China: Xichang,NA,Bos taurus,blood,"Deng,Y., Wang,S., Hao,G.","Xichang College, Animal Science Department",China,2015-09,2018-09-25
MH499642,GenBank,set:MH499642,Atypical porcine pestivirus 1,Pestivirus scrofae,APPV-China/SWU-DY/2018,11269,partial,China,NA,Sus scrofa,NA,"Zhang,B., Zhou,K.","College of Life Science and Technology, Southwest Minzu Universty",China,2018-03-25,2018-08-22
MH499643,GenBank,set:MH499643,Atypical porcine pestivirus 1,Pestivirus scrofae,APPV-China/SWU-KZ/2018,11460,partial,China,NA,Sus scrofa,NA,"Zhang,B., Zhou,K.","College of Life Science and Technology, Southwest Minzu Universty",China,2018-04-06,2018-08-22
MH499644,GenBank,set:MH499644,Atypical porcine pestivirus 1,Pestivirus scrofae,APPV-China/SWU-MY/2018,11286,partial,China,NA,Sus scrofa,NA,"Zhang,B., Zhou,K.","College of Life Science and Technology, Southwest Minzu Universty",China,2018-05-08,2018-08-22
MH499645,GenBank,set:MH499645,Atypical porcine pestivirus 1,Pestivirus scrofae,APPV-China/SWU-XC/2017,11462,partial,China,NA,Sus scrofa,NA,"Zhang,B., Zhou,K.","College of Life Science and Technology, Southwest Minzu Universty",China,2017-11-26,2018-08-22
MH499646,GenBank,set:MH499646,Atypical porcine pestivirus 1,Pestivirus scrofae,APPV-China/SWU-YB/2018,11453,partial,China,NA,Sus scrofa,NA,"Zhang,B., Zhou,K.","College of Life Science and Technology, Southwest Minzu Universty",China,2018-05-18,2018-08-22
MH499647,GenBank,set:MH499647,Atypical porcine pestivirus 1,Pestivirus scrofae,APPV-China/SWU-ZH/2017,11443,partial,China,NA,Sus scrofa,NA,"Zhang,B., Zhou,K.","College of Life Science and Technology, Southwest Minzu Universty",China,2017-08-17,2018-08-22
MH499648,GenBank,set:MH499648,Atypical porcine pestivirus 1,Pestivirus scrofae,APPV-China/SWU-QL/2018,11313,partial,China,NA,Sus scrofa,NA,"Zhang,B., Zhou,K.","College of Life Science and Technology, Southwest Minzu Universty",China,2018-06-12,2018-08-22
MG770617,GenBank,set:MG770617,Pestivirus sp.,Pestivirus sp.,Ovine/IT/1756/17,12173,partial,Italy,NA,Ovis aries,NA,"Sozzi,E., Lavazza,A., Gaffuri,A., Bencetti,F.C., Prosperi,A., Lelli,D., Chiapponi,C., Moreno,A., Baioni,L.",stituto Zooprofilattico Sperimentale della Lombardia e dell'Emilia Romagna,Italy,2017-01,2018-08-14
LC388757,GenBank,set:LC388757,Classical swine fever virus,Pestivirus suis,NA,12296,complete,Viet Nam,NA,Sus scrofa,NA,"Kokuho,T., Tran,T.H., Dang,V.H., Nguyen,T.D., Miyazawa,K.","Transboundary Animal Disease; 6-20-1 Josuihoncho, Kodaira, Tokyo 187-0022",Japan,2013,2018-08-02
MF979135,GenBank,set:MF979135,Atypical porcine pestivirus,Pestivirus scrofae,KU16-2,11247,partial,South Korea,NA,Sus scrofa,NA,"Yoo,S.J., Kwon,T., Moon,S.-H., Park,J.W., Lyoo,E.L., Lyoo,Y.S.","College of Veterinary Medicine, Konkuk University, Department of Pathology",NA,2016,2018-08-01
LC068604,GenBank,set:LC068604,Bovine viral diarrhea virus 1,Pestivirus bovis,NA,12300,complete,NA,NA,NA,NA,"Aoki,H., Kozasa,T., Nakamura,S.","Ministry of Agriculture, Forestry and Fisheries; 1-15-1 Tokura, Kokubunji, Tokyo 185-8511",Japan,NA,2018-07-03
LC068605,GenBank,set:LC068605,Bovine viral diarrhea virus 1,Pestivirus bovis,NA,12300,complete,NA,NA,NA,NA,"Aoki,H., Kozasa,T., Nakamura,S.","Ministry of Agriculture, Forestry and Fisheries; 1-15-1 Tokura, Kokubunji, Tokyo 185-8511",Japan,NA,2018-07-03
MG950344,GenBank,set:MG950344,Bovine viral diarrhea virus 1b,Pestivirus bovis,AU526,11694,partial,USA,NA,Bos taurus,blood,"Kuca,T., Passler,T., Newcomer,B.W., Neill,J.D., Galik,P.K., Riddell,K.P., Zhang,Y., Walz,P.H.","Auburn University, Clinical Sciences",USA,2014-12-12,2018-06-30
MG950345,GenBank,set:MG950345,Bovine viral diarrhea virus 1b,Pestivirus bovis,B1,11694,partial,USA,NA,Bos taurus,blood,"Kuca,T., Passler,T., Newcomer,B.W., Neill,J.D., Galik,P.K., Riddell,K.P., Zhang,Y., Walz,P.H.","Auburn University, Clinical Sciences",USA,2015-06-17,2018-06-30
MG950346,GenBank,set:MG950346,Bovine viral diarrhea virus 1b,Pestivirus bovis,B2,11694,partial,USA,NA,Bos taurus,blood,"Kuca,T., Passler,T., Newcomer,B.W., Neill,J.D., Galik,P.K., Riddell,K.P., Zhang,Y., Walz,P.H.","Auburn University, Clinical Sciences",USA,2015-06-24,2018-06-30
MG950347,GenBank,set:MG950347,Bovine viral diarrhea virus 1b,Pestivirus bovis,B3,11694,partial,USA,NA,Bos taurus,blood,"Kuca,T., Passler,T., Newcomer,B.W., Neill,J.D., Galik,P.K., Riddell,K.P., Zhang,Y., Walz,P.H.","Auburn University, Clinical Sciences",USA,2015-07-01,2018-06-30
MG950348,GenBank,set:MG950348,Bovine viral diarrhea virus 1b,Pestivirus bovis,B4,11694,partial,USA,NA,Bos taurus,blood,"Kuca,T., Passler,T., Newcomer,B.W., Neill,J.D., Galik,P.K., Riddell,K.P., Zhang,Y., Walz,P.H.","Auburn University, Clinical Sciences",USA,2015-07-06,2018-06-30
MG950349,GenBank,set:MG950349,Bovine viral diarrhea virus 1b,Pestivirus bovis,B5,11694,partial,USA,NA,Bos taurus,blood,"Kuca,T., Passler,T., Newcomer,B.W., Neill,J.D., Galik,P.K., Riddell,K.P., Zhang,Y., Walz,P.H.","Auburn University, Clinical Sciences",USA,2015-07-13,2018-06-30
MG950350,GenBank,set:MG950350,Bovine viral diarrhea virus 1b,Pestivirus bovis,B6,11694,partial,USA,NA,Bos taurus,NA,"Kuca,T., Passler,T., Newcomer,B.W., Neill,J.D., Galik,P.K., Riddell,K.P., Zhang,Y., Walz,P.H.","Auburn University, Clinical Sciences",USA,2015-09-03,2018-06-30
MG950351,GenBank,set:MG950351,Bovine viral diarrhea virus 1b,Pestivirus bovis,O1,11694,partial,USA,NA,Ovis aries,blood,"Kuca,T., Passler,T., Newcomer,B.W., Neill,J.D., Galik,P.K., Riddell,K.P., Zhang,Y., Walz,P.H.","Auburn University, Clinical Sciences",USA,2015-01-13,2018-06-30
MG950352,GenBank,set:MG950352,Bovine viral diarrhea virus 1b,Pestivirus bovis,O2,11694,partial,USA,NA,Ovis aries,blood,"Kuca,T., Passler,T., Newcomer,B.W., Neill,J.D., Galik,P.K., Riddell,K.P., Zhang,Y., Walz,P.H.","Auburn University, Clinical Sciences",USA,2015-01-26,2018-06-30
MG950353,GenBank,set:MG950353,Bovine viral diarrhea virus 1b,Pestivirus bovis,O3,11694,partial,USA,NA,Ovis aries,blood,"Kuca,T., Passler,T., Newcomer,B.W., Neill,J.D., Galik,P.K., Riddell,K.P., Zhang,Y., Walz,P.H.","Auburn University, Clinical Sciences",USA,2015-02-04,2018-06-30
MG950354,GenBank,set:MG950354,Bovine viral diarrhea virus 1b,Pestivirus bovis,O4,11694,partial,USA,NA,Ovis aries,blood,"Kuca,T., Passler,T., Newcomer,B.W., Neill,J.D., Galik,P.K., Riddell,K.P., Zhang,Y., Walz,P.H.","Auburn University, Clinical Sciences",USA,2015-02-11,2018-06-30
MG950355,GenBank,set:MG950355,Bovine viral diarrhea virus 1b,Pestivirus bovis,O5,11694,partial,USA,NA,Ovis aries,blood,"Kuca,T., Passler,T., Newcomer,B.W., Neill,J.D., Galik,P.K., Riddell,K.P., Zhang,Y., Walz,P.H.","Auburn University, Clinical Sciences",USA,2015-02-16,2018-06-30
MG950356,GenBank,set:MG950356,Bovine viral diarrhea virus 1b,Pestivirus bovis,O6,11694,partial,USA,NA,Ovis aries,blood,"Kuca,T., Passler,T., Newcomer,B.W., Neill,J.D., Galik,P.K., Riddell,K.P., Zhang,Y., Walz,P.H.","Auburn University, Clinical Sciences",USA,2015-02-25,2018-06-30
MG950357,GenBank,set:MG950357,Bovine viral diarrhea virus 1b,Pestivirus bovis,B1A,11694,partial,USA,NA,Bos taurus,NA,"Kuca,T., Passler,T., Newcomer,B.W., Neill,J.D., Galik,P.K., Riddell,K.P., Zhang,Y., Walz,P.H.","Auburn University, Clinical Sciences",USA,2015-12-24,2018-06-30
MG950358,GenBank,set:MG950358,Bovine viral diarrhea virus 1b,Pestivirus bovis,B2A,11694,partial,USA,NA,Bos taurus,blood,"Kuca,T., Passler,T., Newcomer,B.W., Neill,J.D., Galik,P.K., Riddell,K.P., Zhang,Y., Walz,P.H.","Auburn University, Clinical Sciences",USA,2016-03-24,2018-06-30
MG950359,GenBank,set:MG950359,Bovine viral diarrhea virus 1b,Pestivirus bovis,B3A,11694,partial,USA,NA,Bos taurus,blood,"Kuca,T., Passler,T., Newcomer,B.W., Neill,J.D., Galik,P.K., Riddell,K.P., Zhang,Y., Walz,P.H.","Auburn University, Clinical Sciences",USA,2016-02-24,2018-06-30
MG950360,GenBank,set:MG950360,Bovine viral diarrhea virus 1b,Pestivirus bovis,B4A,11694,partial,USA,NA,Bos taurus,blood,"Kuca,T., Passler,T., Newcomer,B.W., Neill,J.D., Galik,P.K., Riddell,K.P., Zhang,Y., Walz,P.H.","Auburn University, Clinical Sciences",USA,2016-03-04,2018-06-30
MG950361,GenBank,set:MG950361,Bovine viral diarrhea virus 1b,Pestivirus bovis,B5A,11694,partial,USA,NA,Bos taurus,blood,"Kuca,T., Passler,T., Newcomer,B.W., Neill,J.D., Galik,P.K., Riddell,K.P., Zhang,Y., Walz,P.H.","Auburn University, Clinical Sciences",USA,2016-03-04,2018-06-30
MG950362,GenBank,set:MG950362,Bovine viral diarrhea virus 1b,Pestivirus bovis,B6A,11694,partial,USA,NA,Bos taurus,blood,"Kuca,T., Passler,T., Newcomer,B.W., Neill,J.D., Galik,P.K., Riddell,K.P., Zhang,Y., Walz,P.H.","Auburn University, Clinical Sciences",USA,2016-05-05,2018-06-30
MG950363,GenBank,set:MG950363,Bovine viral diarrhea virus 1b,Pestivirus bovis,O1A,11694,partial,USA,NA,Ovis aries,blood,"Kuca,T., Passler,T., Newcomer,B.W., Neill,J.D., Galik,P.K., Riddell,K.P., Zhang,Y., Walz,P.H.","Auburn University, Clinical Sciences",USA,2015-04-14,2018-06-30
MG950364,GenBank,set:MG950364,Bovine viral diarrhea virus 1b,Pestivirus bovis,O2A,11694,partial,USA,NA,Ovis aries,NA,"Kuca,T., Passler,T., Newcomer,B.W., Neill,J.D., Galik,P.K., Riddell,K.P., Zhang,Y., Walz,P.H.","Auburn University, Clinical Sciences",USA,2015-05-07,2018-06-30
MG950365,GenBank,set:MG950365,Bovine viral diarrhea virus 1b,Pestivirus bovis,O2B,11694,partial,USA,NA,Ovis aries,NA,"Kuca,T., Passler,T., Newcomer,B.W., Neill,J.D., Galik,P.K., Riddell,K.P., Zhang,Y., Walz,P.H.","Auburn University, Clinical Sciences",USA,2015-05-07,2018-06-30
MG950366,GenBank,set:MG950366,Bovine viral diarrhea virus 1b,Pestivirus bovis,O4A,11694,partial,USA,NA,Ovis aries,blood,"Kuca,T., Passler,T., Newcomer,B.W., Neill,J.D., Galik,P.K., Riddell,K.P., Zhang,Y., Walz,P.H.","Auburn University, Clinical Sciences",USA,2015-05-17,2018-06-30
